player,espn_player_id,pos,nfl_team_id,projection,full_ppr_projection,receptions,adp,tier
Michael Wilson,4360761,WR,22,141.2443,176.5343,70.58,102.42,7
Travis Kelce,15847,TE,12,140.9491,177.9186,73.94,95.95,2
Mark Andrews,3116365,TE,33,140.3135,169.2831,57.94,124.21,2
Jordan Addison,4429205,WR,16,140.2578,170.5042,60.49,118.0,7
Quentin Johnston,4429025,WR,24,139.0206,165.4212,52.8,132.73,8
Jayden Reed,4362249,WR,9,138.5432,170.2141,63.34,133.29,8
Daniel Carlson,3051909,K,18,137.9292,137.9292,0.0,170.1,3
Dominic Zvada,5082424,K,19,137.1779,137.1779,0.0,169.91,4
Tyler Bass,3917232,K,2,136.7883,136.7883,0.0,169.56,4
Khalil Shakir,4373678,WR,2,136.0791,171.1174,70.08,134.46,8
Wil Lutz,2985659,K,7,135.8659,135.8659,0.0,169.68,4
Jake Elliott,3050478,K,21,135.7636,135.7636,0.0,168.96,4
Wan'Dale Robinson,4569587,WR,10,135.6001,175.0154,78.83,114.67,8
Drew Stevens,5081335,K,28,133.7686,133.7686,0.0,169.94,4
Blake Grupe,4259619,K,11,132.7924,132.7924,0.0,170.01,4
Broncos D/ST,-16007,DST,7,130.5913,130.5913,0.0,98.77,1
Texans D/ST,-16034,DST,34,130.3204,130.3204,0.0,90.2,1
Jake Ferguson,4242355,TE,6,130.1752,166.6028,72.86,109.83,3
Tyjae Spears,4428557,RB,10,129.6838,154.4551,49.54,150.7,7
Andy Borregales,4569923,K,17,129.1161,129.1161,0.0,170.09,5
Stefon Diggs,2976212,WR,28,128.457,163.9961,71.08,113.15,8
Jason Sanders,3124679,K,20,128.4208,128.4208,0.0,169.87,5
Makai Lemon,4870795,WR,21,128.3639,154.6129,52.5,135.75,8
Riley Patterson,4243371,K,15,127.3833,127.3833,0.0,169.93,5
Chris Godwin Jr.,3116165,WR,27,127.2097,157.3927,60.37,131.29,9
KC Concepcion,4870653,WR,5,126.5807,155.9204,58.68,145.83,9
Dalton Kincaid,4385690,TE,2,125.7826,155.4186,59.27,131.19,3
Deebo Samuel Sr.,3126486,WR,25,125.7594,149.5584,47.6,137.21,9
De'Zhaun Stribling,4710714,WR,25,125.447,149.9171,48.94,144.41,9
RJ Harvey,4568490,RB,7,125.1609,149.5246,48.73,130.64,7
Matt Gay,4249087,K,13,125.0967,125.0967,0.0,169.53,5
Romeo Doubs,4361432,WR,17,124.2361,150.4271,52.38,149.01,9
Ryan Fitzgerald,4568263,K,29,124.0691,124.0691,0.0,169.79,5
Isaiah Likely,4361050,TE,19,123.8785,155.5495,63.34,124.98,3
Zach Charbonnet,4426385,RB,26,123.8303,133.9925,20.32,153.67,8
Joey Slye,3124084,K,10,123.3593,123.3593,0.0,169.82,5
Rashid Shaheed,4032473,WR,26,123.0631,144.4834,42.84,158.17,9
Steelers D/ST,-16023,DST,23,122.7341,122.7341,0.0,120.22,1
Josh Downs,4688813,WR,11,122.5106,157.7367,70.45,136.77,10
Seahawks D/ST,-16026,DST,26,122.3143,122.3143,0.0,111.18,1
Hunter Henry,3046439,TE,17,122.2901,150.0992,55.62,148.77,3
Rams D/ST,-16014,DST,14,121.9389,121.9389,0.0,109.5,1
Andre Szmyt,4258620,K,5,121.7439,121.7439,0.0,169.87,6
Chad Ryland,4363538,K,22,121.6566,121.6566,0.0,169.89,6
Ravens D/ST,-16033,DST,33,120.0074,120.0074,0.0,134.09,1
T.J. Hockenson,4036133,TE,16,119.3758,158.2245,77.7,142.99,3
Kenyon Sadiq,5083315,TE,20,117.4582,147.9394,60.96,156.48,3
Jalen Coker,4695883,WR,29,116.5135,147.2081,61.39,156.99,10
Woody Marks,4429059,RB,34,115.6027,127.6826,24.16,150.24,8
Isiah Pacheco,4361529,RB,8,114.9489,123.5347,17.17,159.79,8
Tua Tagovailoa,4241479,QB,1,114.8891,114.8891,0.0,170.07,6
Denzel Boston,4832800,WR,5,114.619,142.3288,55.42,167.72,10
Jerry Jeudy,4241463,WR,5,114.0992,140.0661,51.93,167.28,10
Tre Tucker,4428718,WR,13,113.7769,137.9827,48.41,168.75,10
Calvin Ridley,3925357,WR,10,113.708,135.3804,43.34,168.26,10
Michael Penix Jr.,4360423,QB,1,113.5977,113.5977,0.0,170.09,6
Brenton Strange,4430539,TE,30,112.9364,142.4722,59.07,167.62,4
Terrance Ferguson,4570037,TE,14,112.816,135.7781,45.92,167.27,4
Juwan Johnson,3929645,TE,18,111.9138,143.4473,63.07,160.55,4
Jalen McMillan,4430834,WR,27,109.2773,132.9114,47.27,166.24,11
Lions D/ST,-16008,DST,8,107.8213,107.8213,0.0,154.15,2
Eagles D/ST,-16021,DST,21,106.7051,106.7051,0.0,137.43,2
Adonai Mitchell,4597500,WR,20,106.4911,127.4288,41.88,170.64,11
Pat Freiermuth,4361411,TE,23,106.4049,136.3699,59.93,169.39,4
Browns D/ST,-16005,DST,5,103.9326,103.9326,0.0,156.87,2
Rashod Bateman,4360939,WR,33,103.6663,122.5007,37.67,171.31,11
Dalton Schultz,3117256,TE,34,103.1557,132.9121,59.51,168.44,4
Jalen Nailor,4382466,WR,13,102.0666,124.2366,44.34,170.9,11
Alvin Kamara,3054850,RB,18,100.9126,117.3505,32.88,160.08,8
Chiefs D/ST,-16012,DST,12,100.3623,100.3623,0.0,165.28,2
Patriots D/ST,-16017,DST,17,100.2944,100.2944,0.0,152.42,2
Devaughn Vele,4569559,WR,18,99.0352,123.794,49.52,171.58,11
Gunnar Helm,4686728,TE,10,98.1119,126.9731,57.72,170.66,4
Keenan Allen,15818,WR,11,96.8858,124.4332,55.09,165.61,11
Chig Okonkwo,4360635,TE,28,95.6214,121.2682,51.29,170.01,5
Chargers D/ST,-16024,DST,24,94.8419,94.8419,0.0,165.33,2
Justice Hill,4038441,RB,33,94.4789,114.1932,39.43,169.27,8
Greg Dulcich,4367209,TE,15,93.2414,119.0943,51.71,170.44,5
Darren Waller,2576925,TE,29,93.0884,114.6229,43.07,170.34,5
Buccaneers D/ST,-16027,DST,27,92.7997,92.7997,0.0,170.2,3
Caleb Douglas,4869645,WR,15,92.6032,114.551,43.9,170.22,12
Malik Washington,4569603,WR,15,92.5013,114.9044,44.81,170.18,12
Travis Hunter,4685415,WR,30,92.3106,113.1056,41.59,119.53,12
AJ Barner,4576297,TE,26,91.4208,113.778,44.71,169.62,5
Jauan Jennings,3886598,WR,16,91.3802,114.6199,46.48,171.04,12
Samaje Perine,3116389,RB,4,91.1138,100.5122,18.8,171.1,8
Packers D/ST,-16009,DST,9,90.3196,90.3196,0.0,168.96,3
Kayshon Boutte,4429022,WR,34,89.977,110.3749,40.8,170.61,12
Brian Robinson Jr.,4241474,RB,1,89.5891,93.9618,8.75,166.45,9
Bears D/ST,-16003,DST,3,88.9617,88.9617,0.0,169.6,3
Saints D/ST,-16018,DST,18,88.806,88.806,0.0,170.43,3
Germie Bernard,4685261,WR,23,88.5934,108.8057,40.42,171.34,12
